209/8	14	355292993351/1709127027692985569180542900155
209/8	12	287732887875/2923591883761674240223184531
209/8	10	18097690/56511383009577575088488199
209/8	8	6518207982075/70828890576768397001284941277
209/8	6	1820844927941544/4799463093829194616700092772178625
209/8	4	11830787230417/133256214304152659320155179625
209/8	2	784656675/1936363079931303978612391253
209/8	0	66095782281/752967267601737039262016281
217/8	27	14956619866957347688675/1186691358958333725676600665131533018802
217/8	21	858588419727708175/241840327119506492582092086747289161
217/8	17	7575224663135/2770783765557339108695776182833
217/8	15	474066395651/887085478556027973552279362985
217/8	13	26646974501325/11642694345953228789558142548887
217/8	11	852541890/966130794895538647646479481
217/8	9	178633249145/89926311326790580630587508063
217/8	7	25453446586212735/22388943074086375922998988906312609
217/8	5	3136806856/1791664668126887553925800875
217/8	3	7033864336169/5216498471828696203495556608123
217/8	1	4794490059/3101563342708366603368463331
225/8	28	9875197471601387943/27413074089119368793680436546002063058
225/8	22	13362167205328957497/1633393116266816291354831738960318077
225/8	18	43831603165923535/6613778556718880173897375609942389
225/8	16	7575224663135/572359078997162685835993995892101
225/8	14	11851659891275/2014296366549675250885125721823
225/8	12	37399262458/1822475011518305937968390175807
225/8	10	1328686535565/242747308084586215382372389489
225/8	8	697558574095461/28425619104903160618446521848004171
225/8	6	2236307865265/426253385304724740186910259697
225/8	4	13732843032/516464739627934948365225073363
225/8	2	3223428192602539/626663225192718793600088506786575
225/8	0	347785201/12775714938408704906447912881
233/8	29	3120233312877085983/4087337438293048426153207897971130474
233/8	23	28666398329337910905/127840353220463263187479477580438511341
233/8	19	15610698540503785/90097376770012222726661757807813609
233/8	17	9160805061678018815/285536661629224213747671397208042760297
233/8	15	8522127746026875/58484258673477874911312894195449831
233/8	13	49901725858/945916302038334491373021175509
233/8	11	369149420091689/2900096344188135311949170218351959
233/8	9	5188489206823017/76732186793225305390224785728732613
233/8	7	10815286001/95502890181261831207548277537
233/8	5	263959192344375/3312716800861186409048115312699053
233/8	3	23075753908104/227492577827537111633258397457775
233/8	1	701468106979763/7743905098312341194117370330270975
241/8	30	14193883779748419660680117/626643585084713784355916672959309164192268590
241/8	24	14956619866957347688675/30260629653437510004753316960854091979451
241/8	20	40086501615986872491/100405635676401354380341127483148964145
241/8	18	171717683945541635/204724949857459878514640424728249312703
241/8	16	3435301898129257055625/9725479797719580429527279433454427068369
241/8	14	75752246631350/57980161630886715761700223412789343
241/8	12	492554985081389/1505232385690671607960930572781533
241/8	10	2402532790319684067/1527862699120382912916903956143536156005
241/8	8	151951382861/486956951238775168787571507143
241/8	6	556451762625/323532041522227857426639478196939
241/8	4	1612870652858175/5306133493667777432033273990473931
241/8	2	1673880978456/937069472323090823515157755921525
241/8	0	1414831636581834397369/4693910787832376912851520904008669900625
249/8	31	11176142013483904438240167/241190596431445664278150603809036336775539530
249/8	25	3291732490533795981/233011129757514634746283710641017535993
249/8	21	17199838997602746543/1571684342533930706246071224371273462957
249/8	19	1484685245036550833/768175174385482132316581161940455472095
249/8	17	21464710493192704375/2324334760338996667289049462480297350877
249/8	15	4821476348251588850/1522366161964108557307871815272149042409
249/8	13	39353292124986325/4855977483438201990888630377118850189
249/8	11	1068564144386784389/264334714283268041143409307803032195645
249/8	9	1899751635447797/261794842687860011897136280884451485
249/8	7	3165061766625/667850679464200886670181556691313
249/8	5	3400088891385/518216408160675372698207088985853
249/8	3	116995246061325/21856606314235869429759153056253481
249/8	1	375127495007715592/63110858715403526091176425754097531875
257/8	32	928543941396388419655/652970448006108284971407015111073522011121
257/8	26	1040077770959028661/34742368225490911622302267132754609029
257/8	22	2991323973391469537735/124009247011145874333204769506245200464809
257/8	20	637031073985286909/12024513223501221049222334391242422331427
257/8	18	9019462863597046310475/423861958639162246888768240449947156759803
257/8	16	1717176839455416350/20738704282298183439445730073960344333229
257/8	14	4326398390492482522175/220230406598636006656321236451930097038803
257/8	12	153673666420213370385/1534969735660421726583118451973079675754513
257/8	10	2534833017545897/135878960162917253293699076600785695
257/8	8	26646974501325/241781704861882857095513125343459191
257/8	6	19339486503705/1069727680359680698104620755054951
257/8	4	12980916185/112347164715998626589174100637237
257/8	2	3146326469874498613/176642936367519051332805166760202847413
257/8	0	8056344899036736/68731902691408095743447528665130775625
265/8	33	7011416962833280374222138671/2488138427815145031503349196961858841697291296954
265/8	27	14193883779748419660680117/15979411419660201501075875160462383686902849045
265/8	23	9875197471601387943/14323331211564870194698028095286077947805
265/8	21	72959121302230964335/624793000491562706568730250191752134399253
265/8	19	19349818872303089860875/33174293419941442847695751682672589209170699
265/8	17	26724334410657914994/140069512882604485773462430698174010399153
265/8	15	81097578917917163075/157901471183198883749384499714868622788197
265/8	13	5631494149205361777748305/23204872081473381387000152108730085801739694917
265/8	11	40504726273782845/87670870929522781622657423788695012387
265/8	9	11851659891275/41830524372629876004038816611707839
265/8	7	1791031979482391/4260003759419584530612338036815371227
265/8	5	1402857679995/4406337835443491740051835014745501
265/8	3	5236392277171631/13619680555169349894776821588162686015
265/8	1	22523801057518968/64125283459731287357202397518223925461
273/8	34	18383423334227152821461457/206165337882326685280378835350850324252852321542
273/8	28	3725380671161301479413389/2050120069667288146364280132376808862592086005
273/8	24	3120233312877085983/2135633811508117802665051126689915672665
273/8	22	8920684256189149/2672774723689138457383842563235201148155
273/8	20	3365239470065403229951875/2617522511232203886237236900001574022861663663
273/8	18	57332796658675821810/10962784049963718299831118802939518090209249
273/8	16	41649875179010360518149/35193472122631042546749824957195520604180457
273/8	14	35187123327538611037615/5545833409765072332497094875876344924429319361
273/8	12	4452984060435669691255/3976087536961713333730128752679029288391549
273/8	10	93743405206295625/13359850979879885115578933922964887523213
